interest_expense,date,total_assets,state,bank_id,gross_loans,interest_income,net_loans,charge_offs,total_deposits,id,net_interest_margin,charge_off_rate
452.0,2010-03-31,112563,WISCONSIN,10375,93909,1332.0,92568,99.31123270035404,93210,10375_20100331,0.0078,0.0011
728.0,2010-03-31,176685,WISCONSIN,10378,134837,2277.0,132591,91.71722062739944,144565,10378_20100331,0.0088,0.0007
519.0,2010-03-31,154593,WISCONSIN,10380,116280,1842.0,114354,95.95790922288141,119171,10380_20100331,0.0086,0.0008
656.0,2010-03-31,153926,WISCONSIN,10382,88970,1873.0,87712,63.75298914821087,137581,10382_20100331,0.0079,0.0007
624.0,2010-03-31,312774,WISCONSIN,10383,204614,3504.0,199675,79.42648252159938,251396,10383_20100331,0.0092,0.0004
570.0,2010-03-31,146534,WISCONSIN,10384,110777,1952.0,109306,83.0283557034235,131649,10384_20100331,0.0094,0.0007
4641.0,2010-03-31,1388385,ILLINOIS,1039,744308,14916.0,727325,63.64785124784179,1142733,1039_20100331,0.0074,0.0001
203.0,2010-03-31,87681,COLORADO,10407,52286,1061.0,51633,71.55250065825031,72161,10407_20100331,0.0098,0.0014
5567.0,2010-03-31,1660654,ILLINOIS,1040,1035375,16109.0,1014762,70.77934125596883,1433698,1040_20100331,0.0063,0.0001
189.0,2010-03-31,43802,ILLINOIS,10430,33100,549.0,32812,87.88771629078053,37334,10430_20100331,0.0082,0.0027
124.0,2010-03-31,43452,ILLINOIS,10432,22235,445.0,21907,54.5180797849837,40183,10432_20100331,0.0074,0.0025
659.0,2010-03-31,150042,ILLINOIS,10434,74436,1638.0,73875,54.72384366944206,134996,10434_20100331,0.0065,0.0007
91.0,2010-03-31,31776,ILLINOIS,10437,18991,369.0,18805,67.38935674610285,27905,10437_20100331,0.0087,0.0035
600.0,2010-03-31,150032,ILLINOIS,10438,95931,1874.0,95136,69.45146077586837,136982,10438_20100331,0.0085,0.0007
261.0,2010-03-31,69224,ILLINOIS,10439,50904,859.0,50511,81.94117742484953,61643,10439_20100331,0.0086,0.0016
128.0,2010-03-31,52511,ILLINOIS,10446,20914,473.0,20535,44.21739411296053,46441,10446_20100331,0.0066,0.0021
1383.0,2010-03-31,405505,ILLINOIS,10448,144335,4065.0,141849,59.38757310982068,238853,10448_20100331,0.0066,0.0004
2687.0,2010-03-31,628451,ILLINOIS,10450,412516,7564.0,405455,86.59830585943673,468202,10450_20100331,0.0078,0.0002
242.0,2010-03-31,64394,ILLINOIS,10458,45519,842.0,45219,78.63216651885857,57507,10458_20100331,0.0093,0.0017
375.0,2010-03-31,125866,ILLINOIS,10460,93361,1497.0,92218,83.8314970364714,110004,10460_20100331,0.0089,0.0009
71.0,2010-03-31,23754,ILLINOIS,10463,18207,273.0,18076,85.23600697882775,21207,10463_20100331,0.0085,0.0047
172.0,2010-03-31,78656,ILLINOIS,10464,38323,727.0,37939,54.36866768891245,69781,10464_20100331,0.0071,0.0014
357.0,2010-03-31,99061,ILLINOIS,10467,68004,1117.0,67414,74.795575329243,90131,10467_20100331,0.0077,0.0011
174.0,2010-03-31,40169,ILLINOIS,10469,10371,267.0,10287,33.319297791021576,30874,10469_20100331,0.0023,0.0032
41.0,2010-03-31,18663,ILLINOIS,10471,6924,202.0,6825,45.18072289156627,15106,10471_20100331,0.0086,0.0065
362.0,2010-03-31,83788,ILLINOIS,10473,56922,1134.0,56317,76.17096097923852,73935,10473_20100331,0.0092,0.0013
813.0,2010-03-31,194028,ILLINOIS,10474,140418,2425.0,138894,83.6816705727833,165979,10474_20100331,0.0083,0.0006
1170.0,2010-03-31,263194,ILLINOIS,1047,173310,3437.0,168684,72.46592232050418,232777,1047_20100331,0.0086,0.0004
372.0,2010-03-31,131791,INDIANA,10485,95807,1665.0,94485,90.52281632926794,104377,10485_20100331,0.0098,0.0009
69.0,2010-03-31,22328,IOWA,10489,9698,249.0,9561,46.4193814633199,20597,10489_20100331,0.0081,0.0048
315.0,2010-03-31,82775,IOWA,10491,54638,1035.0,53371,78.95468733819548,67597,10491_20100331,0.0087,0.0014
615.0,2010-03-31,117911,IOWA,10492,69781,1397.0,68081,84.14203084832906,80912,10492_20100331,0.0066,0.0012
229.0,2010-03-31,87854,IOWA,10494,52224,1017.0,51613,71.2276779553421,72462,10494_20100331,0.009,0.0014
397.0,2010-03-31,112798,IOWA,10497,66416,1230.0,65560,64.32937898011049,101913,10497_20100331,0.0074,0.001
